t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6,dJ7,dJ8,dJ9,dJ10,dJ11,dJ12
8.484848484848484418e+00,-1.883600652217864990e-01,-1.652861535549163818e-01,4.386377334594726562e-01,-7.741731405258178711e-01,3.577390015125274658e-01,1.388026922941207886e-01,9.422941207885742188e-01,-1.173488736152648926e+00,-1.275774121284484863e+00,1.886525154113769531e-01,4.209758639335632324e-01,6.144894361495971680e-01
8.585858585858586522e+00,-1.953363418579101562e-01,-1.714078485965728760e-01,4.548835158348083496e-01,-8.028461337089538574e-01,3.709885478019714355e-01,1.439435184001922607e-01,9.771939516067504883e-01,-1.216951131820678711e+00,-1.323024988174438477e+00,1.956396400928497314e-01,4.365675449371337891e-01,6.372482776641845703e-01
8.686868686868686851e+00,-1.995221227407455444e-01,-1.750808656215667725e-01,4.646310210227966309e-01,-8.200499415397644043e-01,3.789383172988891602e-01,1.470280289649963379e-01,9.981337785720825195e-01,-1.243028759956359863e+00,-1.351375341415405273e+00,1.998319178819656372e-01,4.459225535392761230e-01,6.509035825729370117e-01
8.787878787878787179e+00,-2.009173929691314697e-01,-1.763052195310592651e-01,4.678802490234375000e-01,-8.257846832275390625e-01,3.815882802009582520e-01,1.480561941862106323e-01,1.005113840103149414e+00,-1.251721262931823730e+00,-1.360825777053833008e+00,2.012293636798858643e-01,4.490409493446350098e-01,6.554554104804992676e-01
8.888888888888889284e+00,-1.995221376419067383e-01,-1.750808954238891602e-01,4.646310806274414062e-01,-8.200500607490539551e-01,3.789383471012115479e-01,1.470280438661575317e-01,9.981338381767272949e-01,-1.243028879165649414e+00,-1.351375579833984375e+00,1.998319327831268311e-01,4.459226131439208984e-01,6.509036421775817871e-01
8.989898989898989612e+00,-1.953363567590713501e-01,-1.714078634977340698e-01,4.548835754394531250e-01,-8.028462529182434082e-01,3.709885776042938232e-01,1.439435333013534546e-01,9.771939516067504883e-01,-1.216951251029968262e+00,-1.323024988174438477e+00,1.956396549940109253e-01,4.365676045417785645e-01,6.372483372688293457e-01
9.090909090909089940e+00,-1.883600652217864990e-01,-1.652861535549163818e-01,4.386377334594726562e-01,-7.741731405258178711e-01,3.577390015125274658e-01,1.388026922941207886e-01,9.422941207885742188e-01,-1.173488736152648926e+00,-1.275774121284484863e+00,1.886525154113769531e-01,4.209758639335632324e-01,6.144894361495971680e-01
9.191919191919192045e+00,-1.785932481288909912e-01,-1.567157655954360962e-01,4.158935546875000000e-01,-7.340308427810668945e-01,3.391895890235900879e-01,1.316055208444595337e-01,8.934345245361328125e-01,-1.112641096115112305e+00,-1.209622859954833984e+00,1.788705289363861084e-01,3.991475105285644531e-01,5.826270580291748047e-01
9.292929292929292373e+00,-1.660359054803848267e-01,-1.456966847181320190e-01,3.866510689258575439e-01,-6.824192404747009277e-01,3.153403103351593018e-01,1.223520040512084961e-01,8.306148648262023926e-01,-1.034408569335937500e+00,-1.124571204185485840e+00,1.662937104701995850e-01,3.710824847221374512e-01,5.416610836982727051e-01
9.393939393939394478e+00,-1.506880372762680054e-01,-1.322289258241653442e-01,3.509101867675781250e-01,-6.193384528160095215e-01,2.861911952495574951e-01,1.110421568155288696e-01,7.538353204727172852e-01,-9.387909770011901855e-01,-1.020619273185729980e+00,1.509220153093338013e-01,3.367807269096374512e-01,4.915915429592132568e-01
9.494949494949494806e+00,-1.325496584177017212e-01,-1.163124665617942810e-01,3.086709678173065186e-01,-5.447884202003479004e-01,2.517422437667846680e-01,9.767596423625946045e-02,6.630958318710327148e-01,-8.257883191108703613e-01,-8.977668881416320801e-01,1.327554732561111450e-01,2.962422668933868408e-01,4.324184954166412354e-01
9.595959595959595134e+00,-1.116207838058471680e-01,-9.794735908508300781e-02,2.599335014820098877e-01,-4.587692618370056152e-01,2.119935005903244019e-01,8.225345611572265625e-02,5.583966374397277832e-01,-6.954008340835571289e-01,-7.560143470764160156e-01,1.117940992116928101e-01,2.494672238826751709e-01,3.641419410705566406e-01
9.696969696969697239e+00,-8.790136128664016724e-02,-7.713353633880615234e-02,2.046976089477539062e-01,-3.612807691097259521e-01,1.669448614120483398e-01,6.477458775043487549e-02,4.397372603416442871e-01,-5.476280450820922852e-01,-5.953612327575683594e-01,8.803784102201461792e-02,1.964554190635681152e-01,2.867617309093475342e-01
9.797979797979797567e+00,-6.139141321182250977e-02,-5.387102812528610229e-02,1.429633796215057373e-01,-2.523230314254760742e-01,1.165963858366012573e-01,4.523938521742820740e-02,3.071180284023284912e-01,-3.824703097343444824e-01,-4.158077836036682129e-01,6.148673221468925476e-02,1.372069269418716431e-01,2.002779990434646606e-01
9.898989898989899672e+00,-3.209098801016807556e-02,-2.815987728536128998e-02,7.473091036081314087e-02,-1.318962275981903076e-01,6.094815209507942200e-02,2.364787831902503967e-02,1.605390757322311401e-01,-1.999277919530868530e-01,-2.173542082309722900e-01,3.214081376791000366e-02,7.172185182571411133e-02,1.046908497810363770e-01
1.000000000000000000e+01,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
