t,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12
8.585858585858586522e+00,2.089013755321502686e-01,1.833111792802810669e-01,-4.864726960659027100e-01,8.585993647575378418e-01,-3.967516422271728516e-01,-1.539396047592163086e-01,-1.045054674148559570e+00,1.301461696624755859e+00,1.414901733398437500e+00,-2.092257291078567505e-01,-4.668847620487213135e-01,-6.815016269683837891e-01
8.686868686868686851e+00,1.883116215467453003e-01,1.652436405420303345e-01,-4.385249316692352295e-01,7.739740014076232910e-01,-3.576470017433166504e-01,-1.387670040130615234e-01,-9.420518279075622559e-01,1.173186898231506348e+00,1.275445938110351562e+00,-1.886039972305297852e-01,-4.208676218986511230e-01,-6.143314242362976074e-01
8.787878787878787179e+00,1.674311608076095581e-01,1.469210237264633179e-01,-3.899002075195312500e-01,6.881538629531860352e-01,-3.179902136325836182e-01,-1.233801692724227905e-01,-8.375948071479797363e-01,1.043101072311401367e+00,1.134021401405334473e+00,-1.676911264657974243e-01,-3.742007911205291748e-01,-5.462128520011901855e-01
8.888888888888889284e+00,1.465507298707962036e-01,1.285984218120574951e-01,-3.412755429744720459e-01,6.023337841033935547e-01,-2.783334851264953613e-01,-1.079933643341064453e-01,-7.331379055976867676e-01,9.130153656005859375e-01,9.925969839096069336e-01,-1.467782706022262573e-01,-3.275339901447296143e-01,-4.780943393707275391e-01
8.989898989898989612e+00,1.259609460830688477e-01,1.105308681726455688e-01,-2.933276891708374023e-01,5.177083611488342285e-01,-2.392287552356719971e-01,-9.282073378562927246e-02,-6.301349401473999023e-01,7.847403287887573242e-01,8.531410694122314453e-01,-1.261565238237380981e-01,-2.815167903900146484e-01,-4.109240174293518066e-01
9.090909090909089940e+00,1.059525310993194580e-01,9.297345578670501709e-02,-2.467337250709533691e-01,4.354723691940307617e-01,-2.012281715869903564e-01,-7.807651162147521973e-02,-5.300405025482177734e-01,6.600873470306396484e-01,7.176228761672973633e-01,-1.061170399188995361e-01,-2.367989420890808105e-01,-3.456503152847290039e-01
9.191919191919192045e+00,8.681619167327880859e-02,7.618129253387451172e-02,-2.021705508232116699e-01,3.568205833435058594e-01,-1.648838818073272705e-01,-6.397491693496704102e-02,-4.343085289001464844e-01,5.408674478530883789e-01,5.880112648010253906e-01,-8.695098757743835449e-02,-1.940301060676574707e-01,-2.832215428352355957e-01
9.292929292929292373e+00,6.884250044822692871e-02,6.040936708450317383e-02,-1.603148579597473145e-01,2.829475402832031250e-01,-1.307476758956909180e-01,-5.073009431362152100e-02,-3.443930149078369141e-01,4.288907051086425781e-01,4.662743806838989258e-01,-6.894937157630920410e-02,-1.538597345352172852e-01,-2.245857715606689453e-01
9.393939393939394478e+00,5.232223868370056152e-02,4.591281712055206299e-02,-1.218438148498535156e-01,2.150480747222900391e-01,-9.937196969985961914e-02,-3.855630755424499512e-02,-2.617484331130981445e-01,3.259690999984741211e-01,3.543816804885864258e-01,-5.240347981452941895e-02,-1.169377565383911133e-01,-1.706914901733398438e-01
9.494949494949494806e+00,3.754603862762451172e-02,3.294667601585388184e-02,-8.743417263031005859e-02,1.543167829513549805e-01,-7.130855321884155273e-02,-2.766770124435424805e-02,-1.878286600112915039e-01,2.339129447937011719e-01,2.543015480041503906e-01,-3.760433197021484375e-02,-8.391362428665161133e-02,-1.224868893623352051e-01
9.595959595959595134e+00,2.480462193489074707e-02,2.176609635353088379e-02,-5.776298046112060547e-02,1.019487380981445312e-01,-4.710966348648071289e-02,-1.827855408191680908e-02,-1.240881681442260742e-01,1.545335054397583008e-01,1.680033206939697266e-01,-2.484312653541564941e-02,-5.543714761734008789e-02,-8.092045783996582031e-02
9.696969696969697239e+00,1.438862085342407227e-02,1.262602210044860840e-02,-3.350704908370971680e-02,5.913817882537841797e-02,-2.732729911804199219e-02,-1.060298085212707520e-02,-7.198083400726318359e-02,8.964145183563232422e-02,9.745502471923828125e-02,-1.441094279289245605e-02,-3.215789794921875000e-02,-4.694020748138427734e-02
9.797979797979797567e+00,6.588727235794067383e-03,5.781620740890502930e-03,-1.534330844879150391e-02,2.708017826080322266e-02,-1.251351833343505859e-02,-4.855245351791381836e-03,-3.296101093292236328e-02,4.104804992675781250e-02,4.462599754333496094e-02,-6.598979234695434570e-03,-1.472550630569458008e-02,-2.149450778961181641e-02
9.898989898989899672e+00,1.695632934570312500e-03,1.487910747528076172e-03,-3.948628902435302734e-03,6.969094276428222656e-03,-3.220379352569580078e-03,-1.249507069587707520e-03,-8.482575416564941406e-03,1.056385040283203125e-02,1.148462295532226562e-02,-1.698255538940429688e-03,-3.789663314819335938e-03,-5.531668663024902344e-03
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
